Question,Doc_index
등록금 분할납부 신청자는 어떤 일정을 따라야 하나요?,8.txt
2025학년도 2학기 개강일은 언제인가요?,9.txt
2학기 학적변동 정기변경 1차 신청은 언제까지 가능한가요?,9.txt
2학기 수강확정은 언제 완료해야 하나요?,9.txt
대학원 학위논문제출자격시험 응시신청은 언제까지인가요?,9.txt
2학기 수강정정은 언제 하나요?,9.txt
수강신청 취소는 어떤 기간에 진행되나요?,9.txt
9월 중에 학위논문 심사는 언제 신청할 수 있나요?,9.txt
강의평가는 언제부터 진행되나요?,9.txt
학위논문 제출일이 수업일수 기준으로 몇 분의 몇인가요?,9.txt
추석 연휴는 언제인가요?,9.txt
학적변동 정기변경 2차 신청은 언제 가능한가요?,9.txt
휴가 1차 30일은 어떤 날에 시작하나요?,9.txt
학사학위논문 마이크로필름 1차 신청은 언제인가요?,9.txt
예비·실사 신청 기간은 언제부터 언제까지인가요?,9.txt
2학기 중간강의평가는 언제 시행되나요?,9.txt
수업일수 2/4선은 어느 날짜인가요?,9.txt
휴가 2차 60일은 어떤 날짜에 시작되나요?,9.txt
학위논문 심사 최종 등록은 언제까지 해야 하나요?,9.txt
대학원 과정종료일은 언제인가요?,9.txt
학위논문 심사결과 보고 마감은 언제까지인가요?,9.txt
학사학위논문 마이크로필름 2차 신청은 어떤 기간에 진행되나요?,9.txt
12월 초에 진행되는 학적변동 신청 기간은?,9.txt
2학기 기말강의평가는 언제 하나요?,9.txt
2학기 기말고사는 언제부터 언제까지인가요?,9.txt
2학기 성적입력 및 정정은 어느 기간에 이뤄지나요?,9.txt
수업일수 3/4선은 언제인가요?,9.txt
겨울계절학기는 언제 시작하나요?,9.txt
2025년 12월 말에도 성적 정정이 가능한가요?,9.txt
졸업예정자의 학사과정 3학점 이상 취득 증명은 언제까지 제출해야 하나요?,9.txt
졸업예정자의 논문 On-line 탑재 기한은 언제까지인가요?,9.txt
2026학년도 1학기 수강신청은 언제부터 시작되나요?,9.txt
학위논문 인쇄본 제출기한은 언제인가요?,9.txt
1월 말에도 수강신청이 가능한가요?,9.txt
2026학년도 1학기 수강신청은 총 몇 차례 나눠져 있나요?,9.txt
2월에도 수강신청이 가능한가요?,9.txt
겨울계절학기 종료일은 언제인가요?,9.txt
‘수업일수 1/4’이 언급된 날은 언제인가요?,9.txt
‘수업일수 3/4’은 어떤 시점인가요?,9.txt
2학기 전체 성적 확인 및 정정은 며칠 동안 가능한가요?,9.txt
기말시험과 기말강의평가 일정은 겹치나요?,9.txt
9월 중 학적변동 정기변경은 몇 번 가능한가요?,9.txt
학위논문 관련 심사와 제출 일정을 구분해 주세요.,9.txt
기말고사와 성적입력은 일정이 겹치나요?,9.txt
2학기 수강 관련 마지막 정정 시기는 언제인가요?,9.txt
2026년 2월 졸업예정자의 주요 제출 마감일은 언제인가요?,9.txt
2025년 10월 중 강의평가와 논문 관련 일정은 무엇이 있나요?,9.txt
예비·실사 신청과 중간강의평가 일정은 겹치나요?,9.txt
겨울계절학기 시작일은 몇 월 며칠인가요?,9.txt
겨울계절학기 종료일은 몇 월 며칠인가요?,9.txt
수업일수 기준으로 논문 제출 및 휴가 일정이 나뉘는 기준은 무엇인가요?,9.txt
2025학년도 전자시간표는 언제 공개되나요?,10.txt
전자시간표는 수강신청 전에 어디서 확인할 수 있나요?,10.txt
사전 수강신청과 선착순 수강신청의 차이는 무엇인가요?,10.txt
사전 수강신청 일정은 학기별로 어떻게 되나요?,10.txt
1학기 사전 수강신청은 언제 진행되나요?,10.txt
2학기 사전 수강신청 일정은 어떻게 되나요?,10.txt
선착순 수강신청은 어떤 기준으로 나뉘어 진행되나요?,10.txt
등록예정 학기 수에 따라 수강신청 일정이 다른 이유는 무엇인가요?,10.txt
2025학년도 1학기 선착순 수강신청은 언제 시작되나요?,10.txt
3~4학기 학생의 수강신청 일정은 어떤 날인가요?,10.txt
5~6학기 학생의 수강신청은 언제 가능한가요?,10.txt
7~8학기 학생은 언제 수강신청을 하나요?,10.txt
대학원 수강신청 일정은 학부생보다 어떻게 다른가요?,10.txt
대학원 Inbound 학생의 수강신청 일정은 언제인가요?,10.txt
2025년 2월의 수강신청 주요 일정은 무엇이 있나요?,10.txt
2025년 8월 수강신청 일정은 어떻게 되나요?,10.txt
2025학년도 수강신청 시간은 몇 시부터 몇 시까지인가요?,10.txt
수강신청에서 인정학기는 어떤 의미인가요?,10.txt
휴학 중인 학생은 수강신청을 할 수 있나요?,10.txt
편입학생의 수강신청 일정은 어떻게 되나요?,10.txt
편입학 첫 학기의 수강신청은 어떤 기준으로 진행되나요?,10.txt
사전 수강신청에서 수강정원을 초과하면 어떻게 되나요?,10.txt
사전 수강신청이 확정되는 기준은 무엇인가요?,10.txt
수강정원 초과 시 전산 삭제되는 단계는 언제인가요?,10.txt
최종 수강신청은 사전 신청과 어떤 관계가 있나요?,10.txt
수강신청 대상이 되는 ‘재학생’은 어떤 기준으로 정해지나요?,10.txt
수강신청에서 '등록학기 기준'이라는 말은 무슨 뜻인가요?,10.txt
인정학기는 수강신청 대상에서 제외되나요?,10.txt
캠퍼스별 수강신청 진행 방식은 어떻게 되나요?,10.txt
교환학생의 수강신청은 언제 시작되나요?,10.txt
대학원과정의 수강신청이 학사과정보다 빠른 이유는 무엇인가요?,10.txt
2025학년도 1학기 수강신청 주요 일정은 어떤 순서로 진행되나요?,10.txt
2025학년도 2학기 수강신청 흐름은 어떻게 되나요?,10.txt
수강신청 시간 동안 신청 가능한 시간대는 어떻게 되나요?,10.txt
Inbound 대학원생은 몇 일간 수강신청을 하나요?,10.txt
2025년 2월 19일에는 어떤 학생이 수강신청을 하나요?,10.txt
8월 13일은 어떤 학기의 수강신청일인가요?,10.txt
8월 15일은 몇 학기 대상 수강신청일인가요?,10.txt
학사과정 학생 중 수강신청이 가장 늦은 일정은 누구인가요?,10.txt
2025년 8월의 수강신청은 며칠 간격으로 이루어지나요?,10.txt
2학기 대학원 수강신청 일정은 며칠인가요?,10.txt
사전 수강신청 기간 중 주말은 포함되나요?,10.txt
선착순 수강신청은 하루에 몇 학기 대상씩 진행되나요?,10.txt
대학원 Inbound 수강신청 기간은 며칠인가요?,10.txt
수강신청의 전체 흐름을 요약하면 어떤 단계인가요?,10.txt
2025년 수강신청을 준비할 때 유의해야 할 점은 무엇인가요?,10.txt
수강신청 시 오류가 발생하는 경우는 어떤 경우인가요?,10.txt
정원 초과 과목을 신청했다가 삭제되면 어떻게 하나요?,10.txt
사전 수강신청 후 선착순 수강신청을 다시 해야 하나요?,10.txt
수강신청 기간 중 로그인이 필요한 시간은 언제인가요?,10.txt
2025학년도 수강변경 및 확인기간은 언제인가요?,11.txt
1학기 수강변경 및 확인기간의 시작일과 종료일은 언제인가요?,11.txt
1학기 중 수강신청이 불가능한 시간대는 언제인가요?,11.txt
1학기 폐강 확정일은 언제인가요?,11.txt
1학기 폐강강좌 수강신청은 언제 가능한가요?,11.txt
2학기 수강변경 및 확인기간은 언제인가요?,11.txt
2학기 수강신청 불가 시간대는 어떻게 되나요?,11.txt
2학기 폐강 확정일은 언제인가요?,11.txt
2학기 폐강강좌 수강신청은 언제 가능한가요?,11.txt
수강변경 및 확인기간 중에는 대기순번이 적용되나요?,11.txt
수강변경 및 확인기간 중 수강신청은 어떤 방식으로 진행되나요?,11.txt
중일이란 무엇인가요?,11.txt
중일 신청은 어디서 하나요?,11.txt
수강철회를 원하는 경우 어떤 절차를 따르나요?,11.txt
사전 수강신청 종료 후 진행되는 중일은 몇 차인가요?,11.txt
선착순 수강신청 이후 중일은 몇 차인가요?,11.txt
중일은 수강신청 확정에 어떤 영향을 미치나요?,11.txt
수강변경 기간에 등록예정학기별 TO는 어떻게 운영되나요?,11.txt
수강변경 및 확인시간은 하루 중 몇 시부터 몇 시까지인가요?,11.txt
수강변경 기간에도 수강신청 불가 시간이 있나요?,11.txt
중일 신청은 교과사에게 해야 하나요?,11.txt
GLS 책가방 메뉴는 어떤 기능을 하나요?,11.txt
1학기 수강신청 불가 시간은 왜 존재하나요?,11.txt
폐강 확정 이후 어떤 조치를 취할 수 있나요?,11.txt
폐강강좌 수강신청은 어떤 학생을 대상으로 하나요?,11.txt
폐강강좌 수강신청 시간은 하루 중 몇 시부터 가능한가요?,11.txt
수강변경 및 확인은 어떤 방식으로 선착순 처리되나요?,11.txt
수강신청 TO는 수강변경 기간 중 어떻게 운영되나요?,11.txt
GLS에서 수강철회는 어떤 메뉴에서 신청하나요?,11.txt
중일 신청과 수강철회의 차이는 무엇인가요?,11.txt
1학기 수강신청 불가 시간 동안 할 수 없는 작업은?,11.txt
수강신청 불가 시간 직후 가능한 작업은 무엇인가요?,11.txt
2학기 수강신청 불가 시간은 며칠 간 지속되나요?,11.txt
수강신청 불가시간과 폐강 확정일은 어떤 관계인가요?,11.txt
중일 신청은 수강신청에 어떤 영향을 주나요?,11.txt
사전 수강신청과 1차 중일 사이의 관계는?,11.txt
선착순 수강신청과 2차 중일의 관계는?,11.txt
수강변경 기간 중 수강 가능 여부는 어떤 기준에 따르나요?,11.txt
폐강 확정은 보통 수강변경 기간 내 언제 이루어지나요?,11.txt
수강확정은 어떤 시점에 완료되나요?,11.txt
중일의 신청 조건은 어떻게 되나요?,11.txt
중일 신청 시 교과 담당자의 역할은 무엇인가요?,11.txt
수강변경 기간 동안 정원여석은 실시간으로 변동되나요?,11.txt
1학기 수강변경 기간은 총 며칠인가요?,11.txt
2학기 수강변경 및 확인은 며칠간 지속되나요?,11.txt
중일이 수강변경 일정에 영향을 주는 방식은?,11.txt
폐강 확정일 전후로 수강신청 전략은 어떻게 달라지나요?,11.txt
중일 신청 없이 수강철회는 가능한가요?,11.txt
수강변경 및 확인시간 동안 등록학기별 차별은 있나요?,11.txt
폐강강좌 수강신청과 일반 수강변경 신청의 차이는 무엇인가요?,11.txt
수업연한이란 무엇을 의미하나요?,12.txt
학사과정의 수업연한은 몇 년인가요?,12.txt
일반학과는 몇 년 동안 재학해야 하나요?,12.txt
건축학과의 수업연한은 어떻게 되나요?,12.txt
의학과와 치의학과의 수업연한은 각각 몇 년인가요?,12.txt
의학과는 몇 년 과정인가요?,12.txt
치의학과는 몇 년 과정인가요?,12.txt
약학과의 수업연한은 어떻게 구성되어 있나요?,12.txt
약학과는 언제부터 6년제가 적용되었나요?,12.txt
2+4년제 약학과 편입생의 수업연한은 몇 년인가요?,12.txt
2022학년도 이후 약학 신입생은 몇 년을 다녀야 하나요?,12.txt
석사과정의 수업연한은 몇 년인가요?,12.txt
박사과정은 몇 년 동안 다녀야 하나요?,12.txt
석사 및 박사과정은 각각 수업연한이 같은가요?,12.txt
석박사통합과정은 몇 년 과정인가요?,12.txt
석박사통합과정은 일반 대학원 소속인가요?,12.txt
특수대학원 석사과정의 수업연한은 몇 년인가요?,12.txt
특수대학원은 일반 대학원과 수업연한이 다른가요?,12.txt
법학전문대학원의 수업연한은 몇 년인가요?,12.txt
법학전문대학원은 학위과정 중 어디에 해당하나요?,12.txt
모든 학위과정이 2년 이상 수업연한을 갖나요?,12.txt
수업연한은 등록학기 기준인가요?,12.txt
재학생이 반드시 등록해야 하는 이유는 무엇인가요?,12.txt
수업연한을 초과하면 어떻게 되나요?,12.txt
각 학위과정의 최소 등록 기간은 어떻게 되나요?,12.txt
약학과는 왜 편입 시 수업연한이 다른가요?,12.txt
편입한 학생도 수업연한 규정을 따라야 하나요?,12.txt
학사과정과 석사과정의 수업연한 차이는 몇 년인가요?,12.txt
석사와 석박사통합의 차이점은 수업연한 몇 년인가요?,12.txt
석박사통합과정은 조기졸업이 가능한가요?,12.txt
각 학위과정별 수업연한 규정은 변경 가능한가요?,12.txt
의·치의학과는 일반 학과와 어떤 차이가 있나요?,12.txt
수업연한 규정은 입학 연도와 관련이 있나요?,12.txt
재입학생도 동일한 수업연한을 적용받나요?,12.txt
수업연한 내 등록하지 않으면 어떤 불이익이 있나요?,12.txt
수업연한이 짧아지는 경우가 있나요?,12.txt
건축학과는 왜 수업연한이 5년인가요?,12.txt
"의학과 2년, 치의학과 4년은 분리해서 운영되나요?",12.txt
약학과는 6년 모두 본교에서 수학하나요?,12.txt
약학과 편입생은 총 몇 학기를 수강해야 하나요?,12.txt
대학원과정은 모두 동일한 수업연한인가요?,12.txt
학위별 수업연한을 비교하면 어떤 차이가 있나요?,12.txt
대학원과 학부의 수업연한 차이는 일반적으로 몇 년인가요?,12.txt
의학계열은 왜 수업연한이 더 긴가요?,12.txt
대학원도 학제 개편에 따라 수업연한이 바뀌나요?,12.txt
수업연한 규정은 수료와 졸업에도 영향을 미치나요?,12.txt
각 과정별 수업연한은 어디서 확인할 수 있나요?,12.txt
수업연한이 끝난 후 초과등록이 필요한가요?,12.txt
학위별 수업연한 기준은 누가 정하나요?,12.txt
학교마다 수업연한 기준이 다른가요?,12.txt
학사과정의 정규등록은 몇 학기까지인가요?,13.txt
석사과정의 정규등록은 몇 학기까지 해야 하나요?,13.txt
박사과정의 정규등록 학기는 몇 학기인가요?,13.txt
석박사통합과정은 몇 학기까지 정규등록하나요?,13.txt
석박사통합과정에서 조기졸업 가능한 최소 등록학기는?,13.txt
정규등록 이후 초과등록은 언제부터 시작되나요?,13.txt
초과등록이란 무엇인가요?,13.txt
수료 후 등록연구생 제도란 무엇인가요?,13.txt
수료 후 등록연구생은 몇 회까지 등록 가능한가요?,13.txt
수료생이 연구등록생이 되기 위한 조건은 무엇인가요?,13.txt
학사과정 학생이 초과등록하는 이유는 무엇인가요?,13.txt
석사과정 초과등록은 어떤 경우 필요한가요?,13.txt
박사과정 초과등록 조건은 무엇인가요?,13.txt
석박사통합과정 초과등록은 몇 학기 이후부터인가요?,13.txt
수료 후 연구등록은 반드시 4회 연속으로 해야 하나요?,13.txt
등록은 왜 학기마다 해야 하나요?,13.txt
등록이란 어떤 의사표시를 의미하나요?,13.txt
복학생도 등록을 반드시 해야 하나요?,13.txt
재학생 등록금은 어디서 확인하나요?,13.txt
복학생 등록금 납부 절차는 어떻게 되나요?,13.txt
GLS에서 등록금고지서는 어디에서 출력하나요?,13.txt
등록금 납부는 어떤 은행에서 가능한가요?,13.txt
정규등록을 초과하면 수업료는 동일한가요?,13.txt
수료 후 연구등록생도 고지서를 받아야 하나요?,13.txt
석박사통합과정은 6학기 정규등록 이후 바로 수료되나요?,13.txt
초과등록 시 수강학점에 따라 등록금이 달라지나요?,13.txt
등록연구생과 일반 재학생의 차이는 무엇인가요?,13.txt
석사과정과 박사과정의 초과등록 기준은 동일한가요?,13.txt
석박사통합과정의 조기졸업 조건은 어떻게 되나요?,13.txt
정규등록과 초과등록의 가장 큰 차이점은 무엇인가요?,13.txt
등록연구생도 강의를 들을 수 있나요?,13.txt
등록연구생이 되는 시점은 언제인가요?,13.txt
등록연구생은 장학금 수혜 대상이 될 수 있나요?,13.txt
정규등록을 모두 마쳐야 졸업이 가능한가요?,13.txt
등록학기를 모두 채우지 못하면 어떤 불이익이 있나요?,13.txt
정규등록 외 초과등록은 학점과 연관되어 있나요?,13.txt
수업연한과 등록학기는 어떤 관계가 있나요?,13.txt
초과등록자는 수강신청 없이 등록만 가능한가요?,13.txt
등록금은 학점에 따라 자동으로 계산되나요?,13.txt
정규등록 학기 수는 어떻게 판단하나요?,13.txt
학사과정 정규등록 후 졸업요건이 부족한 경우는?,13.txt
연구등록생의 등록금은 고지서로 어디서 확인하나요?,13.txt
수료 후 등록연구생은 자동으로 등록되나요?,13.txt
초과등록자도 수업을 들어야 하나요?,13.txt
초과등록자는 일반 장학금 대상인가요?,13.txt
정규등록은 학과마다 차이가 있나요?,13.txt
석박사통합과정의 8학기 등록은 의무인가요?,13.txt
4회 등록연구생 등록 후 추가 등록이 가능한가요?,13.txt
등록연구생 상태에서도 논문 심사가 가능한가요?,13.txt
수료 후 연구등록이 면제되는 경우도 있나요?,13.txt
2025학년도 1학기 등록금 납부기간은 언제인가요?,14.txt
2025학년도 1학기 추가 등록 기간은 언제인가요?,14.txt
2025학년도 2학기 등록금 납부기간은 언제인가요?,14.txt
2학기 추가 등록은 몇 월 며칠까지 가능한가요?,14.txt
초과등록자는 언제 등록금을 납부하나요?,14.txt
등록금 고지서는 어디서 출력하나요?,14.txt
GLS에서 등록금고지서를 확인하려면 어디로 가야 하나요?,14.txt
학교 홈페이지에서 등록금고지서를 출력할 수 있나요?,14.txt
등록금고지서 우편 발송은 언제부터 중단되었나요?,14.txt
등록금은 어떤 방법으로 납부할 수 있나요?,14.txt
가상계좌 납부는 어떤 은행을 통해 가능한가요?,14.txt
은행에서 직접 납부할 때 필요한 것은 무엇인가요?,14.txt
신용카드 납부가 가능한 카드사는 어디인가요?,14.txt
우리카드로는 어디서 납부 가능한가요?,14.txt
전자금융서비스 납부는 어떻게 하나요?,14.txt
전액장학생도 등록 절차를 밟아야 하나요?,14.txt
전액장학생은 어디서 등록 신청을 하나요?,14.txt
등록금 분할납부는 어떻게 신청하나요?,14.txt
분납 신청은 어디 메뉴에서 하나요?,14.txt
2회 분납과 4회 분납의 차이는 무엇인가요?,14.txt
2회 분납 시 1차 납부기간은 언제인가요?,14.txt
4회 분납 시 2차 납부는 언제까지 해야 하나요?,14.txt
4회 분납 시 3차 납부는 언제 이루어지나요?,14.txt
4회 분납 마지막 차수는 언제 납부해야 하나요?,14.txt
분납을 신청하면 고지서가 달라지나요?,14.txt
1학기와 2학기의 분납 일정은 어떻게 다른가요?,14.txt
2학기 분납 시 1차 납부는 언제 하나요?,14.txt
2회 분납의 두 번째 납부는 어떤 시점에 있나요?,14.txt
분납을 하지 않으면 어떤 일이 생기나요?,14.txt
등록금 미납 시 어떤 불이익이 있나요?,14.txt
등록금 납부가 없으면 자동으로 미등록 처리되나요?,14.txt
이미 납부한 등록금은 환불되나요?,14.txt
등록금 납부와 관련된 세부사항은 어디서 확인하나요?,14.txt
등록금 관련 공지는 어디에 올라오나요?,14.txt
추가 등록과 분납은 동시에 가능한가요?,14.txt
납부 시간은 정해져 있나요?,14.txt
분납 1차는 정규 등록기간과 같은가요?,14.txt
4회 분납자는 총 몇 번 납부하나요?,14.txt
전액장학생도 납부가 필요할 수 있나요?,14.txt
분납자는 중간에 전액 납부로 변경 가능한가요?,14.txt
신청 후 분납 횟수를 바꿀 수 있나요?,14.txt
분납 신청 후 취소 가능한가요?,14.txt
등록금 납부 시간은 오전 몇 시부터인가요?,14.txt
등록금 납부는 오후 몇 시까지 가능한가요?,14.txt
카드 납부는 은행에서도 가능한가요?,14.txt
우리카드는 오프라인 납부도 가능한가요?,14.txt
등록금 납부 시 반드시 고지서를 출력해야 하나요?,14.txt
GLS에서 전액장학생 신청 메뉴는 어디인가요?,14.txt
4회 분납을 신청할 수 있는 조건은 무엇인가요?,14.txt
납부 금액이 0원이어도 신청 절차가 필요한가요?,14.txt
초과등록이란 어떤 상황에서 발생하나요?,15.txt
졸업 이수 학점 부족 시 등록은 어떻게 하나요?,15.txt
초과등록자의 등록금 기준은 무엇인가요?,15.txt
학사과정에서 0~3학점 등록 시 등록금은 얼마인가요?,15.txt
학사과정 4~6학점 수강 시 등록금은 몇 분의 몇인가요?,15.txt
학사과정에서 7~9학점 등록하면 얼마인가요?,15.txt
10학점 이상 등록한 학사과정 학생의 등록금은?,15.txt
9학기부터 초과등록 기준이 적용되나요?,15.txt
건축학사는 몇 학기부터 초과등록이 적용되나요?,15.txt
대학원생이 1~3학점 수강 시 등록금은 얼마인가요?,15.txt
대학원생이 4~6학점 들으면 등록금은 얼마인가요?,15.txt
대학원에서 7학점 이상 수강 시 등록금은?,15.txt
전문대학원 과정의 등록금 기준은 어떻게 되나요?,15.txt
법학전문대학원은 몇 학기부터 초과등록 적용되나요?,15.txt
경영전문대학원은 몇 학기부터 초과등록 하나요?,15.txt
기술경영전문대학원은 몇 학기부터 초과등록 하나요?,15.txt
GSB과정은 다른 기준이 적용되나요?,15.txt
초과등록자는 등록고지서를 어디서 확인하나요?,15.txt
수강신청 후 등록금액은 언제 확정되나요?,15.txt
GLS에서 등록금 고지서는 어떻게 확인하나요?,15.txt
초과등록 납부기간은 어떻게 부여되나요?,15.txt
학자금대출은 어디서 신청하나요?,15.txt
등록금을 이미 납부한 학생은 대출이 가능한가요?,15.txt
분할납부 신청자는 학자금대출을 받을 수 있나요?,15.txt
교내 학자금대출 문의는 어디로 해야 하나요?,15.txt
초과등록 시 수강신청 학점은 꼭 필요하나요?,15.txt
등록고지서에 표기된 학점 기준은 언제 반영되나요?,15.txt
"초과등록 기준은 학사, 대학원 모두 다른가요?",15.txt
수강학점별 등록금 책정은 어디서 확인 가능한가요?,15.txt
등록금 기준은 학과별로도 다른가요?,15.txt
대학원생도 초과등록 대상이 될 수 있나요?,15.txt
전문대학원생도 초과등록 기준이 있나요?,15.txt
등록금 기준은 매년 바뀌나요?,15.txt
초과등록금 환불은 가능한가요?,15.txt
초과등록자는 정규학생과 동일한 수업을 듣나요?,15.txt
초과등록 시 수강 제한은 있나요?,15.txt
초과등록 후 수강 취소하면 금액도 줄어드나요?,15.txt
초과등록자는 자동으로 고지서가 생성되나요?,15.txt
등록금 납부 없이 수강만 가능한가요?,15.txt
수강학점 조절로 등록금 절감이 가능한가요?,15.txt
수강신청 전에 초과등록 여부를 알 수 있나요?,15.txt
초과등록자도 장학금 신청이 가능한가요?,15.txt
법학전문대학원의 등록금 기준은 특별한가요?,15.txt
대학원별 초과등록 기준은 동일한가요?,15.txt
기술경영전문대학원의 등록금은 어떻게 책정되나요?,15.txt
초과등록자의 수업 출석은 필수인가요?,15.txt
초과등록 기준은 국내 타 대학과 유사한가요?,15.txt
초과등록을 줄이기 위한 전략은 무엇인가요?,15.txt
장학금 수혜자가 초과등록하면 어떻게 되나요?,15.txt
등록학점 변경 시 등록금도 다시 계산되나요?,15.txt
연구등록이란 무엇인가요?,16.txt
누가 연구등록을 해야 하나요?,16.txt
박사과정 수료자는 연구등록 대상인가요?,16.txt
석박사통합과정 수료자는 연구등록 대상인가요?,16.txt
연구등록은 몇 학기 연속으로 해야 하나요?,16.txt
유예논문 심사 전까지 무엇을 해야 하나요?,16.txt
연구등록금 납부는 언제 하나요?,16.txt
연구등록 납부기간은 일반 등록금 납부기간과 같은가요?,16.txt
연구등록 미납 시 어떤 불이익이 있나요?,16.txt
미납분이 있으면 어떻게 처리되나요?,16.txt
GLS에서 연구등록금은 어디서 확인하나요?,16.txt
연구등록금 납부 후 고지서는 어떻게 확인하나요?,16.txt
연구등록은 몇 학기 이내에 완료해야 하나요?,16.txt
4개 학기 내 학위 취득 시 연구등록 면제되나요?,16.txt
연구등록금과 학위논문 심사료는 별도인가요?,16.txt
연구등록금 분할납부가 가능한가요?,16.txt
연구등록자는 학자금 대출이 가능한가요?,16.txt
연구등록자는 장학금 수혜가 가능한가요?,16.txt
연구등록 중 수강신청이 가능한가요?,16.txt
몇 과목까지 수강할 수 있나요?,16.txt
연구등록금 납부 내역은 어디서 확인하나요?,16.txt
연구등록 완료 후 논문심사 신청은 언제 가능한가요?,16.txt
GLS에서 연구등록비 신청은 어디서 하나요?,16.txt
연구등록금은 어떤 계좌로 납부하나요?,16.txt
연구등록 중 학적은 어떻게 유지되나요?,16.txt
논문심사와 연구등록의 관계는 무엇인가요?,16.txt
연구등록자는 일반 수업을 들을 수 있나요?,16.txt
논문 심사료는 언제 납부하나요?,16.txt
수료 후 바로 연구등록을 하지 않으면 어떻게 되나요?,16.txt
연구등록 면제는 어떻게 받을 수 있나요?,16.txt
연구등록 중 휴학은 가능한가요?,16.txt
수료 후 연구등록 없이 졸업이 가능한가요?,16.txt
연구등록금은 환불 가능한가요?,16.txt
연구등록자는 졸업식에 참석 가능한가요?,16.txt
연구등록금 납부 시간은 제한되어 있나요?,16.txt
GLS에서 연구등록 조회 메뉴는 어디인가요?,16.txt
연구등록 중 수강신청 제한은 있나요?,16.txt
연구등록 후 논문 미제출 시 등록금 환불되나요?,16.txt
연구등록 없이 논문심사 신청 가능한가요?,16.txt
수료 후 연구등록과 일반 등록의 차이는 무엇인가요?,16.txt
수료생은 연구등록을 반드시 해야 하나요?,16.txt
수료 후 연구등록 시작은 언제 가능한가요?,16.txt
연구등록 면제 요건은 무엇인가요?,16.txt
등록금보다 연구등록금이 낮은 이유는?,16.txt
수료 후 연구등록을 안 하면 어떤 제한이 있나요?,16.txt
대학원별로 연구등록 기준이 다른가요?,16.txt
연구등록자는 학사행정 서비스를 그대로 이용하나요?,16.txt
논문 제출 전에 연구등록이 필수인가요?,16.txt
논문 합격 후에도 등록이 필요한가요?,16.txt
연구등록 관련 문의는 어디에 하면 되나요?,16.txt
일반휴학이란 무엇인가요?,17.txt
일반휴학은 언제 신청할 수 있나요?,17.txt
