1학기 개강일이 언제야?	1학기 개강일은 3월 4일 화요일이야.	8.txt
의학과 졸업하려면 몇 년이 필요해?	의학과는 졸업하려면 총 6년이 필요합니다.	12.txt	
약학과는 몇 년 과정이야?	약학과는 총 6년 과정입니다.	12.txt	
석사과정은 몇 년이야?	석사과정은 2년입니다.	12.txt
정규 등록 학기는 몇 학기야?	학사 과정의 정규 등록 학기는 8학기입니다.	13.txt	
석사 과정은 정규 등록이 몇 학기 필요해?	석사 과정은 정규 등록이 4학기 필요합니다.	13.txt	
박사 과정 초과 등록은 어떻게 되는 거야?	박사 과정은 정규 등록 후 초과 등록이 가능합니다.	13.txt	
석박사 통합과정은 몇 학기부터 조기 졸업이 가능해?	석박사 통합과정은 6학기부터 조기 졸업이 가능합니다.	13.txt	
등록금 고지서는 어디서 확인할 수 있어?	등록금 고지서는 학사서비스(GLS)에서 확인할 수 있습니다.	13.txt
1학기 등록금 납부기간이 언제야?	1학기 등록금 납부기간은 (1차 등록) 2.19.(수)~2.27.(목)이고, (추가 등록) 3.4.(화)~3.7.(금)입니다.	14.txt
2학기 추가 등록 기간은 언제야?	2학기 추가 등록 기간은 9.1.(월)~9.5.(금)입니다.	14.txt
초과등록자는 등록금을 언제 납부해?	초과등록자는 수강신청 변경·확인 기간 이후에 별도로 등록금 납부기간이 부여됩니다.	14.txt
등록금 납부 고지서는 어디서 확인해?	등록금 납부 고지서는 학사서비스(GLS)의 학적/개인영역에서 등록/장학 메뉴를 통해 또는 메인 홈페이지의 주요서비스에서 확인할 수 있습니다.	14.txt
등록금고지서 출력은 어떻게 해?	등록금고지서는 학사서비스(GLS)의 학적/개인영역 → 등록/장학 → 등록금고지서출력에서 출력할 수 있습니다.	14.txt
학자금 대출 신청은 어디서 해?	학자금 대출 신청은 한국장학재단 홈페이지(www.kosaf.go.kr)에서 할 수 있습니다.	15.txt
어떤 경우에 학자금 대출을 받을 수 없어?	이미 등록금 납부를 마친 학생이나 분할납부 신청자는 학자금 대출을 받을 수 없습니다.	15.txt
학자금 대출에 대해 궁금한 점이 있으면 어디로 연락해?	학자금 대출에 관한 문의는 학생지원팀(02-760-1075, 1078)으로 연락하면 됩니다.	15.txt
초과등록이 필요한 경우는 언제야?	초과등록은 학기에 정한 수업학점을 등록하였으나 졸업 이수 학점이 부족하여 추가적으로 등록을 해야 하는 경우에 해당합니다.	15.txt
초과등록자의 등록금고지서는 어디서 확인해?	초과등록자의 등록금고지서는 GLS 내에서 확인할 수 있습니다.	15.txt
연구등록금은 언제 납부해야 해?	연구등록금은 재학생 등록금 납부기간과 동일한 기간에 납부해야 합니다.	16.txt
연구등록금 납부 안 하면 어떻게 돼?	연구등록금을 납부하지 않으면 학위논문제출자격시험 신청 및 학위논문 심사 신청 등 각 학사이수를 진행할 수 없습니다.	16.txt
학위논문제출자격시험 신청은 언제 할 수 있어?	연구등록금을 납부하고 정규 준비 기간인 4개 학기 동안 학위논문제출자격시험을 신청할 수 있습니다.	16.txt
연구등록금을 분할 납부할 수 있어?	연구등록금은 정규학기 등록금과는 별도로 납부하는 금액이므로 분할납부가 불가능합니다.	16.txt
학위논문 심사료는 연구등록금이랑 별도로 내야 해?	학위논문 심사료 및 학위취득을 위한 등록금은 연구등록금과 별도로 납부해야 합니다.	16.txt
일반휴학 신청은 언제 할 수 있어?	일반휴학 신청은 학사일정에서 정한 휴학신청 기간에 학사서비스(GLS)를 통해 가능합니다.	17.txt
등록 후에 일반휴학 신청 가능한 기간이 어때?	등록금을 납부한 학생은 수업일수 3/4선까지 학사서비스(GLS)를 통해 일반휴학을 신청할 수 있습니다.	17.txt
휴학 신청 시 등록금은 어떻게 돼?	휴학 신청 시 등록금은 등록금 반환기준에 따라 환불됩니다.	17.txt
학기 중에 휴학하려면 남은 등록금은 어떻게 해야 해?	등록 후 일반휴학을 미리 낸 학생은 잔여 등록금을 납부해야 학기 중 일반휴학이 가능합니다.	17.txt
등록 전 일반휴학은 어떻게 신청해?	등록 전 일반휴학은 학기 개시 전 일반휴학 신청 기간부터 최종등록 기간까지 학사서비스(GLS)를 통해 신청 가능합니다.	17.txt
임신출산육아휴학은 어떻게 신청해?	임신출산육아휴학은 연세 학사서비스(GLS)를 통해 신청해야 합니다.	18.txt
창업휴학 신청은 어디서 할 수 있어?	창업휴학은 창업지원단 창업교육센터의 서식을 기준으로 신청할 수 있습니다.	18.txt
임신출산육아휴학 시 필요한 서류가 뭐야?	임신출산육아휴학 신청 시 진단서 또는 가족관계증명서를 첨부해야 합니다.	18.txt
창업휴학하려면 어떤 서류가 필요해?	창업휴학 신청 시 창업지원단 추천서가 필요합니다.	18.txt
창업휴학은 몇 학기까지 가능해?	창업휴학은 재학 중 총 4개 학기까지 가능합니다.	18.txt
복학 신청은 언제 해야 해?	일반휴학 및 특별휴학 기간이 만료되면 해당 학기 학사일정에 정해진 휴·복학 기간 내에 복학 신청해야 합니다.	19.txt	
복학 신청 절차가 어떻게 돼?	복학 신청은 학사서비스(GLS)를 통해 가능합니다. 복학 신청 후 승인을 받아야 하며, 수강신청과 등록금 납부를 마쳐야 합니다.	19.txt	
수강신청은 언제부터 할 수 있어?	수강신청은 복학 신청 후, 등록금 납부 전이라도 가능합니다.	19.txt	
등록금은 언제까지 내야 해?	등록금 납부는 개강 전에 있는 등록기간까지 완료해야 합니다.	19.txt	
복학 신청은 어디서 할 수 있어?	복학 신청은 학사서비스(GLS)에서 할 수 있습니다.	19.txt
입대휴학 신청은 언제부터 가능해?	입대일 4주 전부터 학사서비스(GLS)로 신청이 가능합니다.	20.txt	
입대휴학 하려면 어떤 서류가 필요해?	입영통지서 등 입대휴학 증빙서류를 신청 시 첨부파일로 제출해야 합니다.	20.txt	
입대 4주 전부터 신청할 수 있어?	네, 입대일 4주 전부터 학사서비스(GLS)로 신청할 수 있습니다.	20.txt	
입영통지서는 언제 제출해야 해?	입대휴학 신청 시 입영통지서를 첨부파일로 제출해야 합니다.	20.txt	
입대 안 하고 그냥 가면 어떻게 돼?	입대휴학 신청 없이 입대한 경우, 제적처리 될 수 있습니다.	20.txt
휴학 신청은 어떻게 하나?	학사서비스(GLS)에서 임대휴학을 신청할 수 있습니다.	21.txt	
임대휴학할 때 성적 인정 여부는 언제 결정해?	임대휴학 신청 시 성적 인정 여부를 학사서비스(GLS)에서 결정합니다.	21.txt	
복학 후 등록금은 어떻게 되는 거야?	휴학하는 학기의 성적을 인정받은 경우, 복학 시 등록금을 납부해야 합니다.	21.txt	
임대휴학 신청은 어디서 해야 해?	임대휴학 신청은 학사서비스(GLS)에서 진행할 수 있습니다.	21.txt	
휴학하는 동안 성적은 어떻게 처리돼?	휴학하는 학기의 성적은 임대휴학 시 성적 인정 여부에 따라 처리됩니다. 성적을 인정받으면 해당 성적이 부과되며, 인정받지 않으면 성적이 부과되지 않습니다.	21.txt
언제까지 제대복학 신청할 수 있어?	제대일이 포함된 학기의 개시일로부터 1년 이내의 복학신청 기간에 복학신청을 해야 합니다.	22.txt	
제대복학 신청할 때 필요한 서류는 뭐야?	병적사항이 기재된 본인 주민등록 초본 1부 또는 전역증/병적증명서가 필요합니다.	22.txt	
복학 신청은 어디서 하면 돼?	복학 신청은 학사서비스(GLS)를 통해서 해야 합니다.	22.txt	
제대복학 신청서류로 주민등록 초본이 필요해?	네, 병적사항이 기재된 본인 주민등록 초본 1부가 필요합니다.	22.txt	
제대 후 복학하려면 어떤 절차를 밟아야 해?	학사일정에 정해져 있는 복학기간에 제대복학 준비서류를 첨부하여 학사서비스(GLS)를 통해 신청하고 등록 및 수강신청을 모두 마쳐야 합니다.	22.txt
교육과정 이수는 어떻게 해야 해?	교육과정은 대학의 교육목표를 달성하기 위한 교과목으로 구성되어 있으며, 학생은 소정의 교육과정을 이수하여 수료 및 졸업이 가능합니다. 학사과정 교육과정은 성교과목(중핵-균형)과목, DS(Data Science)과목, 전공과목, 선택과목으로 구성되어 있습니다.	23.txt
성교과목에는 어떤 것들이 포함되어 있어?	성교과목은 중핵교양과 균형교양으로 구성되어 있으며, 중핵교양에는 창의리더십, 글로벌화, 창의, 소통사고, 글로벌 영역이 포함되어 있습니다.	23.txt
DS과목은 무엇을 배우는 거야?	DS과목은 SW와 AI 분야에 대한 창의융합형 교육을 강화하기 위한 과목으로, 사회적 중요성과 필요성이 증대되고 있는 DS기반과 DS심화 영역으로 구성되어 있습니다.	23.txt
전공과목을 선택할 때 주의할 점이 있어?	전공과목은 전공분야의 전문학술적 이론을 탐구하는 과목과 이를 검증 및 체득하기 위한 실험·실습·실기 과목으로 구성되어 있습니다. 전공과목은 학사필수과목과 학사선택과목으로 구분되며, 자신의 전공분야의 학문적 요소를 이해하고 응용할 수 있는 능력을 배양할 수 있는 과목을 신중히 선택해야 합니다.	23.txt
선택과목으로 어떤 것들을 들을 수 있어?	선택과목은 졸업, 취업, 자격증 취득 등 특정한 목적을 위해 이수하는 과목으로, 학생의 선택에 따라 교직과목, 평생교육사과목, 군사학과목, 일반선택과목으로 구분됩니다.	23.txt
졸업하려면 최소 몇 학점을 이수해야 해?	졸업을 위해서는 입학년도별 교육과정에 따라 정해진 졸업소요학점을 충족해야 합니다.	24.txt	
2024학번이면 국제어 수업 몇 학점 들어야 돼?	2024학번의 경우, 전공 과목 중 12학점 이상, 총 18학점 이상의 국제어 수업을 들어야 합니다.	24.txt	
성균교양 과목은 얼마나 들어야 해?	성균교양(공통교양) 과목은 총 학점 및 영역별 최소 학점을 충족해야 합니다.	24.txt	
편입생도 국제어수업 들어야 해?	2026학년도 이후 편입생도 전공 과목 중 3학점 이상을 국제어로 개설된 전공과목으로 이수해야 합니다.	24.txt	
졸업에 필요한 필수 과목이 뭐야?	졸업에 필요한 필수 과목은 성균교양(공통교양), 전공과목, DS(Data Science) 관련 과목 등이 있으며, 교육과정에 따라 다를 수 있습니다.	24.txt
죄우 학생의 국제수업 취득 학점이 3학점으로 계산되는 이유가 뭐야?	죄우 학생은 국내 타 대학 학점 교류를 통해 취득한 학점이 국제수업 학점으로 인정되지 않기 때문에 국제수업 취득 학점이 3학점으로 계산됩니다.	25.txt
해외 대학에서 취득한 학점은 국제수업 학점으로 인정돼?	네, 해외 대학에서 취득한 학점은 국제수업 학점으로 인정됩니다.	25.txt
국제하계강좌에서 받은 학점은 어떻게 국제수업 학점으로 인정돼?	국제하계강좌(ISS)에서 받은 학점은 국제수업 학점으로 인정됩니다.	25.txt
국내 타 대학에서 취득한 학점은 왜 국제수업 학점으로 인정되지 않아?	국내 타 대학에서 취득한 학점은 국제수업 학점으로 인정되지 않는다는 규정이 있기 때문입니다.	25.txt
국어국문학과 학생은 국제수업 의무학점이 면제라고 했는데 이유가 뭐야?	국어국문학과 학생은 국학 분야 학문에 속하기 때문에 국제수업 의무학점이 면제됩니다.	25.txt
1학년 수료하는데 필요한 학점이 몇 점이야?	인문대학 기준으로 30학점, 공과대학 기준으로 36학점이 필요합니다.	26.txt
2학년 등록학기 수는 최소 몇 학기야?	2학년 수료를 위해 최소 4학기를 등록해야 합니다.	26.txt
공대 3학년 수료 조건이 어떻게 돼?	공과대학 3학년 수료를 위해 최소 6학기 등록과 96학점 취득이 필요합니다.	26.txt
조기졸업 하려면 어떤 조건을 충족해야 해?	학칙 제40조와 학칙시행세칙 제44조의 요건을 모두 충족해야 하며, 최대 1년 단축 가능합니다.	26.txt
약학대학 4학년 되려면 학점 몇 점 필요해?	약학대학 4학년이 되려면 130학점이 필요합니다.	26.txt
성균교양 영역별 필수 학점은 어떻게 되나요?	성균교양 과정에서는 각 계열에 따라 필수로 이수해야 하는 학점이 다릅니다. 예를 들어, 인문계열은 계열공통 30학점, 소계 15학점, 전공역량 1학점 등 다양한 영역에서 학점을 이수해야 합니다.	27.txt
2025학번 성균교양 과정에서 DS 교과목은 필수인가요?	예, 성균교양(중점·균형)과정 이외에 DS(Data Science) 교과목도 필수로 이수하여야 합니다.	27.txt
인문계열 학생은 계열 공통 학점을 몇 학점 들어야 하나요?	인문계열 학생은 계열공통에서 30학점을 이수해야 합니다.	27.txt
사회과학계열에서 전공역량 학점은 몇 학점인가요?	사회과학계열에서는 전공역량으로 1학점을 이수해야 합니다.	27.txt
자연과학계열 학생은 정보와기술 영역 학점을 들어야 하나요?	네, 자연과학계열 학생은 정보와기술 영역에서 4학점을 이수해야 합니다.	27.txt
글로벌 영어와 영어A/T가 같은 건가?	글로벌 영어와 영어A/T는 같은 것으로, 2학점 필수 이수 과목입니다.	28.txt
영어A/T 2학점은 어떤 수업 들어야 해?	영어A/T 2학점 필수 과목은 글로벌 영어 수업을 통해 이수해야 합니다.	28.txt
균형교양에서 몇 학점 이수해야 해?	균형교양 영역에서는 최소 6학점을 이수해야 합니다.	28.txt
균형교양의 최소 이수 영역이 어떻게 돼?	균형교양의 최소 이수 영역은 언어/논리, 사회/역사, 자연/과학/기술 영역 중 최소 2개 영역에서 이수해야 합니다.	28.txt
인문사회과학캠퍼스 학생은 뭐 필수로 들어야 해?	인문사회과학캠퍼스 소속 학생은 인문/사회 기초 과목 3학점을 필수로 이수해야 합니다.	28.txt
리더십 독서는 몇 학점을 이수해야 해?	리더십 독서는 2학점을 이수해야 합니다.	29.txt
성교양 과정에는 어떤 과목들이 포함되니?	성교양 과정에는 리더십 독서, 명저 독서, 의사 소통, 창의 융합, 철학 등이 포함됩니다.	29.txt
전공영역에서 최소 몇 학점을 이수해야 해?	전공영역에서는 최소 33학점을 이수해야 합니다.	29.txt
DS 교과목도 꼭 이수해야 해?	네, DS(Data Science) 교과목도 이수해야 합니다.	29.txt
영어영문학과는 어디에 속해 있어?	영어영문학과는 사회과학계열에 속해 있습니다.	29.txt
자연과학대학 학생은 몇 학점을 이수해야 해?	자연과학대학 학생은 총 57학점을 이수해야 합니다.	30.txt
균형교양 중 몇 개 영역에서 최소 학점을 이수해야 해?	균형 9영역 중 3영역 이상에서 9학점 이상 이수해야 합니다.	30.txt
경영대학 학생은 성교양 몇 학점을 들어야 해?	경영대학 학생은 총 42학점의 성교양을 이수해야 합니다.	30.txt
소프트웨어학부 학생은 어떤 SW 교과목을 이수해야 해?	소프트웨어학부 학생은 SW 교과목으로 '창업프로그램기획실습'과 '창업캡스톤프로그램'을 이수해야 합니다.	30.txt
자연과학계열은 어떤 추가 필수 학점을 이수해야 해?	자연과학계열은 '생명·산업·과학·공학' 교과에서 3학점을 필수로 이수해야 합니다.	30.txt
성공인성 과목은 몇 학점이야?	성공인성 과목은 2학점입니다.	31.txt	
창의적 사고 영역은 몇 학점을 이수해야 해?	창의적 사고 영역은 4학점을 이수해야 합니다.	31.txt	
전자정보공학부는 어떤 과목을 6학점 이수해야 해?	전자정보공학부는 창의적 사고 영역 대신 전산 과목(프로그램과 알고리즘, 공학컴퓨터프로그래밍) 6학점을 이수해야 합니다.	31.txt	
2016학번 소프트웨어학부 학생은 어떤 전산 과목을 필수로 들어야 해?	2016학번 소프트웨어학부 학생은 전산기초기술 영역 3학점을 필수로 이수해야 합니다.	31.txt	
약학과 학생은 기초 과학 학점을 몇 학점 이수해야 해?	약학과 학생은 기초과학기술영역에서 15학점을 이수해야 합니다.	31.txt
글로벌융합학부 학생은 몇 학점을 이수해야 해?	글로벌융합학부 소속 학생은 기초인문사회과학, 기초자연과학 영역 내 총 9학점을 이수해야 합니다.	32.txt
글로벌융합학부로 전입하는 학생들은 어떤 과목을 들어야 해?	글로벌융합학부로 전입하는 학생들은 1학년 때 기초전자기학및실험 (MSW/AI융합), 전자회로및프로그램기초실습, 공학컴퓨팅프로그래밍을 이수해야 합니다.	32.txt
기초전자기학및실험 과목은 몇 학점이야?	기초전자기학및실험 과목의 학점은 문서에 명시되어 있지 않습니다.	32.txt
소프트웨어기초영역 6학점 이수하려면 무슨 과목 들어야 해?	소프트웨어기초영역 6학점을 이수하려면 기초전자기학및실험 (MSW/AI융합), 전자회로및프로그램기초실습, 공학컴퓨팅프로그래밍 과목을 들어야 합니다.	32.txt
2014학번인데 성균인성 몇 학점 들어야 해?	2014학번 학생은 성균인성 과목을 2학점 이수해야 합니다.	32.txt
중점 교양-유학사상과자연 영역 학점은 어떻게 이수해야 해?	'성공논다'(2학점)를 이수하면 '중점교양-유학사상과자연 영역' 학점을 이수한 것으로 인정됩니다.	33.txt
2013학년도 이전 신입생들은 성공논다 과목을 어떻게 처리해야 해?	'성공논다'를 이수한 경우 '중점교양-유학사상과자연 영역' 학점으로 인정됩니다.	33.txt
중점 교양-리더십 영역에서 실천리더십 과목을 재수강할 수 있어?	'중점교양-리더십 영역' 이수자가 재수강을 희망할 경우 'GEDR014 실천리더십' 으로만 대체하여 재수강할 수 있습니다.	33.txt
유학사상과자연 영역을 미이수한 경우 어떤 과목을 들어야 해?	'중점교양-유학사상과자연 영역' 미이수자는 'GEDC010 성공논다'로 대체하여 이수하여야 합니다.	33.txt
중점 교양 미이수자는 어떤 대체 교과목을 들어야 해?	'중점교양-유학사상과자연 영역' 미이수자는 'GEDC010 성공논다', '중점교양-리더십 영역' 미이수자는 'GEDC015 아트포트폴리오과리더십' 또는 'GEDR014 실천리더십' 을 대체하여 이수하여야 합니다.	33.txt
생명과학 과목을 들으면 다른 영어 학점을 대체할 수 있나요?	생명과학(2학점) 과목을 이수할 경우 '중점교양-유학생실과 기타 영어' 학점을 이수한 것으로 인정됩니다.	34.txt
GEDC015 과목을 들으면 리더십 학점으로 인정되나요?	'GEDC015 영어프레젠테이션과리더십' 과목을 이수할 경우 '중점교양-리더십' 영역 학점을 이수한 것으로 인정됩니다.	34.txt
2013년도 입학생은 어떤 학점을 추가로 이수해야 해?	2013학년도부터 입학한 학부생은 '유학생실과 기타 영어'에서 2학점을 추가로 이수해야 합니다.	34.txt
생명과학 과목은 몇 학점이야?	생명과학 과목은 2학점입니다.	34.txt
2012학번 학생은 몇 학점을 이수해야 해?	2012학번 학생은 영역별로 ( )에 표기된 학점을 이수해야 합니다. 예를 들어, 총 40학점을 이수해야 합니다.	34.txt
약학대학의 교양 과목 학점은 몇 점이야?	약학대학의 교양 과목 학점은 23점입니다.	35.txt
의학대학 2009~2011학번의 기초 과목 학점은 어떻게 돼?	의학대학 2009~2011학번의 기초 과목 학점은 20점입니다.	35.txt
컴퓨터공학부의 합계 학점은 몇 점이야?	컴퓨터공학부의 합계 학점은 38점입니다.	35.txt
예술대학 2007이후 학번의 총 학점은 얼마야?	예술대학 2007이후 학번의 총 학점은 60점입니다.	35.txt
사회과학대학의 글로벌 영어 과목 학점은 몇 점이야?	사회과학대학의 글로벌 영어 과목 학점은 2점입니다.	35.txt
일반교양 이수 의무가 면제된다는데, 그럼 다른 과목을 더 들어야 해?	일반교양 영역이 폐지됨에 따라 교양·기초 타 영역 학점을 수강하여 이수의무 학점 총계를 충족하면 됩니다.	36.txt
인문과학계열은 교양 학점을 몇 점 들어야 돼?	인문과학계열의 경우 교양 학점은 총 42점을 이수해야 합니다.	36.txt
자연과학계열 학생들은 기초 인문사회 학점을 몇 점 이수해야 해?	자연과학계열 학생들은 기초 인문사회 학점을 36점 이수해야 합니다.	36.txt
스포츠과학부는 왜 이수의무 학점이 46점이야?	스포츠과학부의 이수의무 학점은 다른 계열보다 기초 인문사회와 기초 자연과학 학점이 높아서 46점입니다.	36.txt
정보통신계열 학생인데, 일반교양 학점은 안 들어도 되는 거야?	정보통신계열 학생은 일반교양 이수 의무가 면제되므로 다른 교양·기초 영역 학점을 이수하면 됩니다.	36.txt
편입학생은 성균인성-리더십 과목을 몇 학점 들어야 해?	편입학생은 성균인성-리더십 영역에서 2학점을 이수해야 합니다.	37.txt
2020학번 편입학생이 성균인성-리더십 영역에서 들어야 하는 학점은 몇이야?	2020학번 편입학생은 성균인성-리더십 영역에서 2학점을 이수해야 합니다.	37.txt
2014학번 편입생은 어떤 과목을 꼭 들어야 해?	2014학번 편입생은 '성균논어' 과목을 꼭 이수해야 합니다.	37.txt
편입학생이 유학사상과가치관 영역을 이미 이수했으면 뭘 해야 해?	편입학생이 유학사상과가치관 영역을 이미 이수했다면 중점공학-유학사상과가치관 영역을 선택하여 이수할 수 있습니다.	37.txt
약학대학 전과생이 유학사상과가치관 영역을 이수했다면 어떻게 되지?	약학대학 전과생이 유학사상과가치관 영역 2학점을 이수한 경우, 이수 의무를 면제받을 수 있습니다.	37.txt
성공인성 과정의 대체 교과목은 어떤 것들이 있어?	성공인성 과정의 대체 교과목으로는 '인성리더십'이 '성찰인성'으로 대체됩니다.	38.txt
인성리더십 과목은 몇 학점이야?	인성리더십 과목은 2학점입니다.	38.txt
2020학년도 이전에 인성진단 과목은 대체로 어디에 속해?	2020학년도 이전에 인성진단 과목은 '실천인성-인성' 영역에 속합니다.	38.txt
중점교양-융합사상과가치관 과목들은 언제 이후로 실천리더십으로 대체돼?	중점교양-융합사상과가치관 과목들은 2014학년도 이후로 실천리더십으로 대체됩니다.	38.txt
한국사상과문화 과목은 몇 학점이지?	한국사상과문화 과목은 2학점입니다.	38.txt
창의적사고 과목은 2020년도 이후에 필수야?	2020학년도 이후 창의적사고 과목은 창의와사유 영역에서 필수입니다.	39.txt	
기초수학 과목을 대체할 수 있는 수업이 있나요?	기초수학 과목은 대체 과목이 명시되어 있지 않습니다.	39.txt	
문제해결사고 수업은 2020년 이후에도 수강 가능한가요?	문제해결사고 수업은 2020년도 이후에는 창의적사고로 대체된 것으로 보입니다.	39.txt	
과학기술글쓰기는 재수강이 가능할까?	과학기술글쓰기 과목은 재수강 가능합니다.	39.txt	
시사영어 과목은 어떤 내용이야?	시사영어 과목은 2020학년도 이전 글로벌 영역에 포함된 과목입니다.	39.txt
글로벌리더십과커뮤니케이션 과목은 몇 학점이야?	글로벌리더십과커뮤니케이션 과목은 2024학년도 이전에는 2학점이며, 2024학년도 이후에는 3학점입니다.	40.txt
글로벌문화와실용영어 과목은 어디 영역에 해당돼?	글로벌문화와실용영어 과목은 2024학년도 이전에는 중점교양-글로벌 영역에 해당하며, 2024학년도 이후에는 교양필수-사회/역사 영역에 해당합니다.	40.txt
재수강할 때 학점이 어떻게 인정돼?	재수강 시 변경된 이수영역의 학점으로 인정됩니다. 따라서 본인의 졸업요건 및 취득한 이수영역 결과를 고려하여 수강신청에 유의해야 합니다.	40.txt
2024학년도 이후의 교양필수-인간/문화 과목은 뭐야?	2024학년도 이후의 교양필수-인간/문화 영역에는 글로벌리더십과커뮤니케이션 과목이 포함됩니다.	40.txt
한국어문화와한자 과목은 몇 학점이야?	한국어문화와한자 과목은 2학점입니다.	40.txt
균형교양 인간/문화 과목은 어떻게 바뀌었어?	2021학년도 이전에는 '교양영역-인간/문화'로 분류되었고, 대체교과목은 'GEDH089 - 한국문화와유산 - 2'였습니다. 2021학년도 이후로는 '교양필수'로 바뀌었고, 대체교과목은 'GEDG039 - 한국문화와유산 - 2'입니다.	41.txt
2021학년도 이후로 한국문화와유산 과목은 어떤 학수번호야?	2021학년도 이후로 한국문화와유산 과목의 학수번호는 'GEDG039'입니다.	41.txt
한국문화와유산 과목은 언제 교양필수가 됐어?	한국문화와유산 과목은 2021학년도 이후로 교양필수가 되었습니다.	41.txt
사회/역사 영역에서 2021학년도 이후 대체 교과목은 뭐야?	사회/역사 영역에서 2021학년도 이후 대체 교과목은 'GEDS072 - 한국사회와경제 - 3'입니다.	41.txt
2016학년도 이전에 사회/역사 영역에서 들을 수 있는 과목은?	2016학년도 이전에 사회/역사 영역에서 들을 수 있는 과목은 'GEDS022 - 한국사회와경제 - 3'입니다.	41.txt
DS 교육과정을 이수하려면 어떤 과목을 들어야 해?	DS 교육과정을 이수하려면 소속 계열/학과 및 학번별로 지정된 DS기반 교과목을 이수해야 하며, "데이터분석과제기초" 교과목은 필수로 수강해야 합니다.	42.txt
2025학번은 어떤 DS기반 교과목을 들어야 해?	2025학번은 소속 계열/학과에 따라 "공학컴퓨터프로그래밍" 또는 "프로그래밍기초와실습" 중 하나를 선택하고, "데이터분석과제기초"를 필수로 이수해야 합니다.	42.txt
프로그래밍기초와실습 과목은 몇 학점이야?	프로그래밍기초와실습 과목은 3학점입니다.	42.txt
DS기반 영역에서 필수로 들어야 하는 과목이 뭐야?	DS기반 영역에서 필수로 들어야 하는 과목은 "데이터분석과제기초"입니다.	42.txt
DS기반 교과목은 몇 학점 이수해야 해?	DS기반 영역에서 최소 6학점에서 최대 9학점을 이수해야 합니다.	42.txt
컴퓨팅사고와SW코딩은 몇 학점이야?	컴퓨팅사고와SW코딩은 2학점입니다.	43.txt
문서해석과알고리즘 과목은 누구에게 필수야?	문서해석과알고리즘 과목은 모든 이수계열별로 필수입니다.	43.txt
